vehicle_day_id,Region,Fleet,Vehicle ID,Date,dist,runtime,idling_time,idling_mins,driving_time,SOC,energy,temp,tdiff,over65,ptemp,speed,Efficiency,Heater,elec_heat,region_NC,region_SC,region_RM
75,NC,NC1 Lion,EV057,4/16/2021,11.33344083,1.025,0.281944444,16.91666664,0.743055556,19.91694726,41.82558924,44.474,-20.526,0,0,12.34129531,3.690458164,electric,1,1,0,0
76,NC,NC1 Lion,EV057,4/17/2021,14.80005181,1.106111111,0.285555556,17.13333336,0.820555556,30.33484534,63.70317522,64.412,-0.588,0,0,14.0459406,4.304253528,electric,1,1,0,0
77,NC,NC1 Lion,EV057,4/19/2021,23.86719384,2.368055555,0.457777777,27.46666662,1.910277778,39.17634486,82.27032419,58.21431408,-6.78568592,0,0,11.56355109,3.447004484,electric,1,1,0,0
78,NC,NC1 Lion,EV057,4/20/2021,14.08140115,1.306666667,0.213333333,12.79999998,1.093333333,18.01324709,37.8278189,50.405,-14.595,0,0,15.05930236,2.686367535,electric,1,1,0,0
79,NC,NC1 Lion,EV057,4/21/2021,10.32982597,0.840833333,0.125,7.5,0.715833333,15.70483143,32.98014601,66.404,1.404,1,1.404,12.71756138,3.19271071,electric,1,1,0,0
80,NC,NC1 Lion,EV057,4/22/2021,13.68538527,1.153333333,0.263055556,15.78333336,0.890277778,13.75406245,28.88353114,48.9155,-16.0845,0,0,13.25285176,2.110538401,electric,1,1,0,0
81,NC,NC1 Lion,EV057,4/23/2021,23.59981278,1.713888889,0.394722222,23.68333332,1.319166667,23.50074769,49.35157014,47.327,-17.673,0,0,13.11462854,2.091184816,electric,1,1,0,0
82,NC,NC1 Lion,EV057,4/24/2021,22.10160137,1.168888889,0.010555556,0.63333336,1.158333333,27.82531481,58.43316111,63.56,-1.44,0,0,19.14680989,2.643842866,electric,1,1,0,0
83,NC,NC1 Lion,EV057,4/27/2021,40.22428827,2.750555555,0.140833334,8.45000004,2.609722223,47.44007897,99.62416583,51.1775,-13.8225,0,0,13.64026615,2.476716683,electric,1,1,0,0
84,NC,NC1 Lion,EV057,4/28/2021,10.86689708,0.738055556,0.015833333,0.94999998,0.722222222,16.71038122,35.09180057,62.843,-2.157,0,0,13.4374695,3.229238329,electric,1,1,0,0
85,NC,NC1 Lion,EV057,5/4/2021,23.00090562,1.693888889,0.183611111,11.01666666,1.510277777,33.73955542,70.85306637,67.352,2.352,1,2.352,15.5174435,3.080446811,electric,1,1,0,0
86,NC,NC1 Lion,EV057,5/7/2021,42.04951919,2.752222222,0.176388889,10.58333334,2.575833333,55.43538271,116.4143037,62.49741407,-2.50258593,0,0,15.36968181,2.76850499,electric,1,1,0,0
87,NC,NC1 Lion,EV057,5/10/2021,18.91886428,1.608611111,0.220555556,13.23333336,1.388055556,23.28162268,48.89140763,61.37247038,-3.62752962,0,0,10.23117923,2.584267581,electric,1,1,0,0
88,NC,NC1 Lion,EV057,5/11/2021,30.15442222,2.194444444,0.291111111,17.46666666,1.903333333,42.42418871,89.0907963,73.615,8.615,1,8.615,15.13083863,2.95448527,electric,1,1,0,0
90,NC,NC1 Lion,EV057,5/14/2021,18.77415128,2.072222222,0.653055555,39.1833333,1.419166667,17.9239129,37.6402171,67.5245,2.5245,1,2.5245,10.84044721,2.004895802,electric,1,1,0,0
91,NC,NC1 Lion,EV057,5/17/2021,17.18552237,1.455555555,0.326666667,19.60000002,1.128888889,11.57414879,24.30571246,64.04002346,-0.95997654,0,0,15.44447003,1.414313277,electric,1,1,0,0
92,NC,NC1 Lion,EV057,5/18/2021,22.54288196,1.901666666,0.303888889,18.23333334,1.597777778,36.98377153,77.66592021,64.2185,-0.7815,0,0,12.68398252,3.44525249,electric,1,1,0,0
93,NC,NC1 Lion,EV057,5/20/2021,6.855960383,1.031111111,0.344722222,20.68333332,0.686388889,1.153393654,2.422126674,47.04202346,-17.95797654,0,0,6.699661864,0.353287729,electric,1,1,0,0
94,NC,NC1 Lion,EV057,5/24/2021,25.11183944,1.787222222,0.090555556,5.43333336,1.696666667,29.59731441,62.15436025,61.925,-3.075,0,0,12.00018258,2.47510185,electric,1,1,0,0
95,NC,NC1 Lion,EV057,5/25/2021,50.11621484,3.654166667,0.380833334,22.85000004,3.273333333,69.01598779,144.9335744,73.69400587,8.69400587,1,8.694005867,13.25206929,2.891949738,electric,1,1,0,0
96,NC,NC1 Lion,EV057,5/27/2021,10.23820355,0.967777778,0.141944444,8.51666664,0.825833333,8.042259088,16.88874409,53.87,-11.13,0,0,11.31395602,1.649580809,electric,1,1,0,0
97,NC,NC1 Lion,EV057,5/28/2021,36.47046341,2.943333333,0.541666666,32.49999996,2.401666667,48.30494941,101.4403938,69.359,4.359,1,4.359,15.56712,2.781439672,electric,1,1,0,0
98,NC,NC1 Lion,EV057,5/29/2021,26.24029452,1.635833333,0.131111111,7.86666666,1.504722222,27.42222021,57.58666244,80.15004692,15.15004692,1,15.15004692,16.93709413,2.194589028,electric,1,1,0,0
99,NC,NC1 Lion,EV057,6/1/2021,13.84518876,1.501944444,0.3925,23.55,1.109444444,16.17323246,33.96378816,73.958,8.958,1,8.958,11.52875475,2.453111239,electric,1,1,0,0
100,NC,NC1 Lion,EV057,6/2/2021,19.22441051,1.199444444,0.069166667,4.15000002,1.130277778,29.69010448,62.34921941,94.1495,29.1495,1,29.1495,14.40634891,3.243231795,electric,1,1,0,0
101,NC,NC1 Lion,EV057,6/3/2021,26.8594568,2.278611111,0.604166667,36.25000002,1.674444445,37.62992135,79.02283484,75.7730176,10.7730176,1,10.7730176,11.64693481,2.942086112,electric,1,1,0,0
102,NC,NC1 Lion,EV057,6/4/2021,26.80162313,2.654166667,0.603333333,36.19999998,2.050833333,33.16539194,69.64732307,79.1165,14.1165,1,14.1165,10.38999743,2.598623327,electric,1,1,0,0
104,NC,NC1 Lion,EV058,4/23/2021,9.058996781,1.871944444,1.1,66,0.771944444,16.43422013,34.51186227,47.336,-17.664,0,0,9.180603266,3.809678169,electric,1,1,0,0
105,NC,NC1 Lion,EV058,4/24/2021,17.09303072,1.490833333,0.142222222,8.53333332,1.348611111,27.70770251,58.18617527,63.86,-1.14,0,0,12.30536851,3.404087679,electric,1,1,0,0
106,NC,NC1 Lion,EV058,4/26/2021,11.53556774,1.969166667,0.972222222,58.33333332,0.996944444,26.19824712,55.01631896,43.61,-21.39,0,0,8.824569264,4.769277092,electric,1,1,0,0
107,NC,NC1 Lion,EV058,4/27/2021,24.09034605,2.853888889,1.226666667,73.60000002,1.627222223,40.05983227,84.12564777,52.598,-12.402,0,0,11.47716136,3.492089637,electric,1,1,0,0
108,NC,NC1 Lion,EV058,4/28/2021,16.44196543,1.596111111,0.446111111,26.76666666,1.15,35.43615957,74.41593509,67.364,2.364,1,2.364,13.20779387,4.525975645,electric,1,1,0,0
109,NC,NC1 Lion,EV058,4/29/2021,10.02498903,1.448611111,0.698611111,41.91666666,0.75,16.08155561,33.77126677,53.933,-11.067,0,0,10.4364174,3.368708601,electric,1,1,0,0
110,NC,NC1 Lion,EV058,4/30/2021,25.35126869,3.586944444,1.595555555,95.7333333,1.991388889,42.96383733,90.2240584,64.89725,-0.10275,0,0,11.30146115,3.558956339,electric,1,1,0,0
111,NC,NC1 Lion,EV058,5/1/2021,22.3149255,1.927777778,0.358888889,21.53333334,1.568888889,34.9500814,73.39517093,77.63,12.63,1,12.63,14.26123988,3.289061885,electric,1,1,0,0
112,NC,NC1 Lion,EV058,5/3/2021,13.80222924,1.77,0.630833333,37.84999998,1.139166667,22.60769298,47.47615525,55.067,-9.933,0,0,9.173511075,3.439745452,electric,1,1,0,0
113,NC,NC1 Lion,EV058,5/4/2021,33.26762727,2.692777778,0.491666667,29.50000002,2.201111112,54.41321864,114.2677592,69.2420088,4.2420088,1,4.2420088,13.41551639,3.434803397,electric,1,1,0,0
114,NC,NC1 Lion,EV058,5/5/2021,14.88765596,1.813333333,0.811944444,48.71666664,1.001388889,28.88245546,60.65315646,82.95355279,17.95355279,1,17.95355279,14.18469332,4.074056831,electric,1,1,0,0
115,NC,NC1 Lion,EV058,5/6/2021,8.76780287,1.892777778,1.136388889,68.18333334,0.756388889,15.31670421,32.16507884,55.148,-9.852,0,0,9.386636415,3.668544938,electric,1,1,0,0
116,NC,NC1 Lion,EV058,5/7/2021,8.879331957,1.706388889,0.978055556,58.68333336,0.728333333,14.84713002,31.17897305,51.0035,-13.9965,0,0,10.27654221,3.511409777,electric,1,1,0,0
117,NC,NC1 Lion,EV058,5/8/2021,16.85500056,1.635555556,0.383888889,23.03333334,1.251666667,30.16608671,63.34878209,71.15,6.15,1,6.15,13.82024405,3.758456244,electric,1,1,0,0
