id,Fleet,Vehicle ID,Date,Energy Consumption Rate,Total Distance,Total Run Time,Idling Time,Driving Time,Initial SOC,Final SOC,SOC Used,Min SOC,Max SOC,Total Energy Consumption,Average Ambient Temperature,Average Speed,Initial Odometer,Final Odometer,Percent Idling Time,Average Driving Speed,Fleet_full,Region,Fleet ID,Model Year,Initial Service Year,Data Collection Start,Data Collection End,Model Name,Manufacturer,Weight Class,Curb Weight,Capital Cost,Nominal Range,Nominal Efficiency,Peak Power,Peak Torque,Towing Capacity,Battery Chemistry,Rated Energy,Fuel Fired Heater?,Max Charge Rate,Charge Connector,Total Fleet Size,% Electrified,State,Census Region,Body Style,Sector,Vocation,Vehicle Platform,Fleet Type,Data Collection Method,Heater Type,vehicle_name
92,NC1,EV057,5/18/21,3.44525249,22.54288196,1.901666666,0.303888889,1.597777778,NA,NA,36.98377153,NA,NA,77.66592021,64.2185,11.85427623,18001.98862,18017.08489,0.159801344,14.10889691,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
93,NC1,EV057,5/20/21,0.353287729,6.855960383,1.031111111,0.344722222,0.686388889,NA,NA,1.153393654,NA,NA,2.422126674,47.04202346,6.64909951,18045.50638,18053.05104,0.334321121,9.988448958,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
94,NC1,EV057,5/24/21,2.47510185,25.11183944,1.787222222,0.090555556,1.696666667,NA,NA,29.59731441,NA,NA,62.15436025,61.925,14.050765,18077.89776,18103.37067,0.050668325,14.80069122,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
95,NC1,EV057,5/25/21,2.891949738,50.11621484,3.654166667,0.380833334,3.273333333,NA,NA,69.01598779,NA,NA,144.9335744,73.69400587,13.71481364,18110.83429,18122.1222,0.104218928,15.3104526,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
96,NC1,EV057,5/27/21,1.649580809,10.23820355,0.967777778,0.141944444,0.825833333,NA,NA,8.042259088,NA,NA,16.88874409,53.87,10.57908518,18189.4981,18200.15123,0.146670493,12.39742105,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
97,NC1,EV057,5/28/21,2.781439672,36.47046341,2.943333333,0.541666666,2.401666667,NA,NA,48.30494941,NA,NA,101.4403938,69.359,12.39087092,18208.5915,18226.87709,0.18403171,15.18548095,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
98,NC1,EV057,5/29/21,2.194589028,26.24029452,1.635833333,0.131111111,1.504722222,NA,NA,27.42222021,NA,NA,57.58666244,80.15004692,16.04093399,18261.09736,18287.51329,0.080149431,17.43863029,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
99,NC1,EV057,6/1/21,2.453111239,13.84518876,1.501944444,0.3925,1.109444444,NA,NA,16.17323246,NA,NA,33.96378816,73.958,9.218176355,18292.4522,18307.53635,0.261327908,12.47938897,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
101,NC1,EV057,6/3/21,2.942086112,26.8594568,2.278611111,0.604166667,1.674444445,NA,NA,37.62992135,NA,NA,79.02283484,75.7730176,11.78764409,18351.51358,18364.62628,0.265146898,16.04081693,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
102,NC1,EV057,6/4/21,2.598623327,26.80162313,2.654166667,0.603333333,2.050833333,NA,NA,33.16539194,NA,NA,69.64732307,79.1165,10.09794278,18397.55868,18417.18534,0.227315541,13.06865004,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
